,id,name,address,types,rating,rating_n,international_phone_number,current_popularity,populartimes,coordinates.lat,coordinates.lng,time_spent,time_wait
27,ChIJVyVbFOm1hkcRFwOM0sD9xts,Banco BPM Spa,"Via Serbelloni, 43, 20064 Gorgonzola MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",2.3,3.0,+39 02 9530 2979,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 65, 100, 93, 53, 30, 61, 40, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 77, 64, 43, 29, 27, 22, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 49, 47, 59, 45, 35, 30, 22, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 22, 41, 44, 34, 28, 27, 24, 18, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 47, 66, 73, 64, 44, 24, 10, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.5317513,9.4085551,"[25, 25]",
28,ChIJQftJEmaThkcReKCMOF48Sd4,Credito Artigiano,"Viale Italia, 4, 20020 Lainate MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",1.5,2.0,+39 02 9357 1487,,,45.5706494,9.0208178,,
29,ChIJTQbwkP67hkcROWBN2DRUZTs,Banca Popolare di Milano Spa,"Piazza Italia, 1, 20851 Lissone MB, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",3.7,6.0,+39 039 245 9250,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 68, 98, 89, 56, 43, 59, 62, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 67, 57, 82, 79, 39, 35, 42, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 56, 69, 43, 54, 48, 39, 36, 32, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 58, 62, 63, 56, 40, 35, 34, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 36, 73, 79, 100, 98, 52, 42, 31, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.609305,9.2355401,"[20, 20]",
30,ChIJtYAYLhTBhkcR9HgTBHxklbo,CheBanca! Milano Sempione,"Corso Sempione, 54, 20154 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",2.5,24.0,+39 02 3200 4040,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 55, 81, 83, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 19, 58, 100, 98, 55, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 74, 86, 64, 43, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 18, 41, 64, 71, 61, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 16, 42, 55, 67, 85, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.4832598,9.1632061,"[20, 20]",
31,ChIJ1wZB4KjGhkcRzMk9uetLLqw,Deutsche Bank,"Via S. Prospero, 2, 20121 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",3.3,6.0,+39 02 4024 3229,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 29, 47, 65, 83, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 32, 58, 78, 80, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 72, 70, 74, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 36, 92, 63, 78, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 45, 78, 100, 98, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.466142,9.186096,"[20, 20]",
32,ChIJnxljEQTEhkcRQRc_wgJfDZg,Banca Profilo Spa,"Via Cerva, 28, 20122 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",5.0,2.0,+39 02 584081,,,45.4656752,9.1991034,,
33,ChIJzUoSA-bHhkcRaAnyJMimmh4,Credito Valtellinese Spa,"Strada Padana, 231, 20090 Vimodrone MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",2.5,6.0,+39 02 9197 0280,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 42, 64, 64, 46, 28, 31, 42, 42, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 28, 51, 55, 44, 35, 33, 31, 26, 20, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 40, 40, 33, 28, 28, 24, 20, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 42, 57, 55, 44, 37, 42, 42, 28, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 57, 55, 62, 100, 71, 44, 42, 28, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.51182790000001,9.285066500000001,"[15, 15]",
34,ChIJfz8fLdbAhkcREtFEGtAovOc,Cassa di Risparmio di Parma e Piacenza Spa,"Piazzale Carlo Maciachini, 9, 20159 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",,,+39 02 607 4981,,,45.49701699999999,9.1849889,,
35,ChIJCbwttZPAhkcRA5E5po7ypEg,Banca Popolare di Milano Spa,"Via Alessandro Astesani, 46, 20161 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",2.0,11.0,+39 02 6620 4581,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 76, 100, 92, 71, 55, 43, 29, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 17, 59, 95, 80, 41, 23, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 47, 46, 43, 71, 31, 26, 22, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 14, 49, 82, 80, 53, 41, 44, 38, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 59, 61, 68, 65, 34, 26, 25, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.5200469,9.169856700000002,"[20, 20]",
36,ChIJz4iYWyXbhkcReFUYz4rGX0Y,Banca Popolare di Milano Spa,"Via Roma, 16, 20090 Pieve Emanuele MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",,,+39 02 4891 0839,,,45.3560879,9.201416799999999,,
37,ChIJjd0bTqG5hkcR-y6bhySq9hU,Findomestic Centro Clienti MONZA,"Corso Milano, 3, 20900 Monza MB, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",1.1,13.0,+39 039 280 3222,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 76, 71, 39, 0, 34, 68, 65, 31, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 68, 39, 18, 0, 42, 57, 55, 39, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 100, 78, 44, 0, 44, 47, 42, 34, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 86, 100, 71, 0, 55, 50, 39, 26, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 86, 92, 52, 0, 42, 76, 76, 39, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.579854,9.273172,"[20, 20]",
